Date,CHIP.L,CMOD.L,COPA.L,CRUD.L,DFNS.L,EQQQ.L,IBTG.L,IGLT.L,IITU.L,IJPN.L,INDI.L,INRG.L,ISF.L,IUES.L,IUFS.L,PHAG.L,SGLN.L,SMGB.L,UKDV.L,VUSA.L,VWRP.L
2024-09-23,7.759500026702881,22.877500534057617,39.275001525878906,9.489500045776367,34.60499954223633,36383.84375,4.330062389373779,9.404969215393066,2368.0,1356.7572021484375,,620.8609008789062,800.683349609375,8.970000267028809,13.1850004196167,28.344999313354492,3831.5,30.9424991607666,9.996085166931152,79.57450103759766,103.5
2024-09-24,8.305999755859375,23.122499465942383,40.36000061035156,9.567999839782715,34.3125,36369.84375,4.334682941436768,9.411710739135742,2365.5,1345.0113525390625,,627.1095581054688,802.9818725585938,9.005000114440918,13.0649995803833,29.010000228881836,3843.5,31.424999237060547,9.99052619934082,79.47649383544922,103.70999908447266
2024-09-25,8.28849983215332,23.16374969482422,40.53499984741211,9.569999694824219,34.39500045776367,36609.828125,4.332834720611572,9.353280067443848,2397.0,1344.5115966796875,,622.8604736328125,801.6827392578125,8.90250015258789,12.96500015258789,29.274999618530273,3870.0,31.77750015258789,10.005348205566406,79.7116928100586,104.0199966430664
2024-09-26,8.883500099182129,23.139999389648438,41.72999954223633,9.21500015258789,34.407501220703125,36527.3359375,4.331216812133789,9.353280067443848,2395.0,1370.002197265625,,627.3594360351562,803.6814575195312,8.677499771118164,13.039999961853027,29.55500030517578,3869.5,32.279998779296875,10.097054481506348,79.38339233398438,104.31999969482422
2024-09-27,9.07699966430664,23.1200008392334,41.41999816894531,9.145999908447266,34.61249923706055,36540.8359375,4.334220886230469,9.355527877807617,2387.0,1355.0076904296875,,636.357421875,807.2791748046875,8.789999961853027,13.140000343322754,29.174999237060547,3850.0,32.154998779296875,10.16189956665039,79.72149658203125,104.69999694824219
2024-09-30,9.351499557495117,23.165000915527344,40.81999969482422,9.329000473022461,34.529998779296875,36504.33984375,4.331679344177246,9.351035118103027,2391.5,1351.00927734375,,632.1083984375,798.7845458984375,8.824999809265137,13.0649995803833,28.56999969482422,3818.0,31.780000686645508,10.031286239624023,79.44955444335938,104.12000274658203
2024-10-01,9.467499732971191,23.446250915527344,41.29499816894531,9.63599967956543,34.82500076293945,36333.84765625,4.328676223754883,9.393733024597168,2361.0,1364.00439453125,,633.108154296875,802.9818725585938,9.09000015258789,13.069999694824219,29.06999969482422,3903.0,31.232500076293945,10.017391204833984,79.82928466796875,104.45999908447266
2024-10-02,10.145999908447266,23.457500457763672,41.709999084472656,9.515999794006348,35.375,36601.828125,4.330292701721191,9.344292640686035,2382.5,1356.2572021484375,,624.6100463867188,804.0812377929688,9.138750076293945,13.0600004196167,29.170000076293945,3879.5,31.94499969482422,9.978485107421875,80.03018951416016,104.97000122070312
2024-10-03,10.312000274658203,23.5674991607666,40.869998931884766,9.866000175476074,35.27750015258789,36959.80859375,4.328676223754883,9.357776641845703,2420.5,1364.50439453125,,625.3599243164062,803.5814819335938,9.268750190734863,12.989999771118164,29.280000686645508,3931.0,32.317501068115234,9.930315971374512,80.77742004394531,105.63999938964844
2024-10-04,10.57800006866455,23.584999084472656,40.959999084472656,10.024999618530273,35.40999984741211,37097.8046875,4.311579704284668,9.274626731872559,2426.5,1379.9986572265625,,622.360595703125,803.5814819335938,9.387499809265137,13.114999771118164,29.739999771118164,3942.0,32.52000045776367,10.03962230682373,80.9268798828125,105.91999816894531
